Deutsch ;Wylie Transkripton;Tibetisch;Klassik;Modern;Höflichkeitsform
aber;yin n'i;ཡིན་ནའི།;;;
aber;yang na yang;ཡང་ན་ཡང།;;;
abgeschlossen;tshar;ཚར།;;;
Alphabet, das;ka kha;ཀ་ཁ།;;;
all diese;de tsho;དེ་ཚོ།;;;
alle ;tshang ma;ཚང་མ།;;;
alle;rnams;རྣམས།;;;
alt ;rnying pa;རྙིང་པ།;;;
Alter, das;lo;ལོ།;;;
Alter, das;dgung lo;དགུང་ལོ།;;;
als;las;ལས།;;;
ansehen;lta;ལྟ།;;;
ängstigen, sich;zhed;ཞེད།;;;
Arbeit, die;las ka;ལས་ཀ།;;;
Arbeit, die;phyag las;ཕྱག་ལས།;;;
Arzt/Ärztin, der/die;em rje;ཨེམ་རྗེ།;;;
;;ཨམ་ཆི།;;;
auch;yang;ཡང།;;;
auch;ya'e;ཡའི།;;;
aufstehen, am Morgen;lang;ལང།;;;
aus;nas;ནས།;;;
Ausland, das;phyi rgyal ;ཕྱི་རྒྱལ།;;;
Ausländer/in, der/die;phyi rgyal mi;ཕྱི་རྒྱལ་མི།;;;
ausleihen;gyar;;;;
Auto, das;mo hhhhhhh;མོ་ཌ།;;;
außerdem;da dung;ད་དུང།;;;
älterer Bruder;cho cho;ཅོ་ཅོ།;;;
Bauer/äuerin, der/die;zhing pa;ཞིང་པ།;;;
beide;nga gnyis;ང་གཉིས།;;;
beide;gnyis ka;གཉིས་ཀ།;;;
Bekannte/r, der/die;ngo shes pa;ངོ་ཤེས་པ།;;;
bekommen;byung;;;;
beschäftigt;brel ba;བྲེལ་བ།;;;
bestellen;mngag pa;མངག་པ།;;;
betrachten;lta;ལྟ།;;;
Bier, das;chang;ཆང།;;;
bisschen, ei;;;;;
bitte;rogs gnang;རོགས་གནང།;;;
bitter;kha tig;ཁ་ཏིག།;;;
bisschen, ein;tog tsam;ཏོག་ཙམ།;;;
Bleistift, der;zha smyug;ཞ་སྨྱུག།;;;
Brauch, der;lugs srol;;;;
brauchen;dgos;དགོས།;;;
Brief, der;yi ge;ཡི་གེ།;;;
Boot, das;gru;གྲུ།;;;
Buch, das;deb;དེབ།;;;
Buttertee, der;ja srub ma;;;;
China;rgya nag;རྒྱ་ནག།;;;
Chinese, der;rgya rigs;རྒྱ་ནག་རིགས།;;;
Chinese, der;rgya mi;རྒྱ་ནག་མི།;;;
da drüben, dort drüben;pha ga'i;ཕ་གའི།;;;
dann;byes na;བྱེས་ན།;;;
dann;a ni;འ་ནི།;;;
dann;de nas;དེ་ནས།;;;
Danke, das;thugs rje che;ཐུགས་རྗེ་ཆེ།;;;
Dankeschön, das ;thugs rje che gnang;ཐུགས་རྗེ་གནང།;;;
das;de;དེ།;;;
Datum, das;tshes pa;ཚེས་པ།;;;
dein;khyed rang gi;ཁྱེད་རང་གི།;;;
deswegen;tsang;ཙང།;;;
dies;a'di;འདི།;;;
Dienstag, der;gza'a mig dmar;གཟའ་མིག་དམར།;;;
Dinge, die;cha lag;ཅ་ལག།;;;
Dinge, die;dngos po;དངོས་པོ།;;;
Donnerstag, der;gza'a phur pu;གཟའ་ཕུར་པུ།;;;
du ;rang;རང།;;;
du ;khyed rang;ཁྱེད་རང།;;;
du ;khyod;ཁྱོད།;;;
Durst, der;skom;སྐོམ།;;;
durstig;kha skom;ཁ་སྐོམ།;;;
einfach;las sla po;ལས་སླ་པོ།;;;
Eintrittskarte, die;pa se;པ་སེ།;;;
Eltern, die;pha ma;ཕ་མ།;;;
empfangen, Gast;sne len zhu;;;;
endlich;gzhi nas;;;;
England;dbyin ji;དབྱིན་ཇི།;;;
Entspannung, die;lhod lhod;ལྷོད་ལྷོད།;;;
entspannen;lhod lhod;ལྷོད་ལྷོད།;;;
er;kho;ཁོ།;;;
er;khong;ཁོང།;;;
erinnern;dran;དྲན།;;;
Essen, das;kha lag;ཁ་ལག།;;;
essen;za;ཟ།;;;
essen;mchod;;;;
Fabrikarbeiter/in, der/die;bzo pa;བཟོ་པ།;;;
Fahrrad, das;rkang sga ril;;;;
fahren;mo …. Btang;མོ་ཌ་བཏང།;;;
Fahrkarte, die ;pa se;;;;
falls;na;ན།;;;
Familie, die;nang;ནང།;;;
Familie, die;gzim khang;གཟིམ་ཁང།;;;
fähig sein;shes;ཤེས།;;;
Feld, das;zhing;ཞིང།;;;
fertig;tshar;ཚར།;;;
Fest, das;dus chen;དུས་ཆེན།;;;
Film, der;glog brnyan;གློག་བརྙན།;;;
finden;rnyed;རྙེད།;;;
Fischerboot, das;nya pa'i gru;ཉ་པའི་གྲུ།;;;
Fleisch, das;sha;ཤ།;;;
Flughafen, der;gnam gru'i a'bab thang;གནམ་གྲུའི་འབབ་ཐང།;;;
Flugzeug, das;gnam gru;གནམ་གྲུ།;;;
Freitag, der;gza'a pa sangs;གཇའ་པ་སངས།;;;
Freund(in), der/ die;grogs po / ma;གྲོགས་པོ།;;;
Freund, der;rogs pa;རོགས་པ།;;;
Freund, fester;dg'a rogs;དཀའ་རོགས།;;;
Freundin, feste;dg'a rogs;དཀའ་རོགས།;;;
frisch;sos pa;སོས་པ།;;;
früh;nga po;སྔ་པོ།;;;
Früher;nga po;སྔ་པོ།;;;
Früher;sngon la;སྔོན་ལ།;;;
Früher;sngan la;སྔན་ལ།;;;
Foto, das;par;པར།;;;
fürchten, sich;zhed;ཞེད།;;;
Gast, der;mgron po;མགྲོན་པོ།;;;
geben;sprad;སྤྲད།;;;
geben;phul;ཕུལ།;;;
gehen;a'gro;འགྲོ།;;;
gehen;bsu;བསུ།;;;
gehen, kommen;phebs;ཕེབས།;;;
gehen;thad;ཐད།;;;
Geist, der;sems;སེམས།;;;
Geist, der;thugs;ཐུགས།;;;
Geld, das;skor mo;སྐོར་མོ།;;;
Geld, das;dngul;དངུལ།;;;
genau;tag tag ;ཏག་ཏག།;;;
generell;tag par;ཏག་པར།;;;
Geschäft, das;tshong khang;ཚོང་ཁང།;;;
Geschäftsmann/frau, der/die;tshong pa;ཚོང་པ།;;;
Gesicht, das;ngo;ངོ།;;;
Gesicht, das;gdong;གདོང།;;;
Gerste, geröstet;rtsam pa;;;;
Gerstenbier, das;chang;;;;
gestern;kha sa;ཁ་ས།;;;
